Sprint,SprintDifference,AbsoluteStoryPointChange
109,-62,221
164,-7,446
89,-82,202
37,-134,0
84,-87,132
21,-150,0
165,-6,306
141,-30,304
135,-36,209
92,-79,174
75,-96,28
62,-109,239
31,-140,60
123,-48,373
163,-8,462
168,-3,48
69,-102,202
30,-141,0
186,15,0
17,-154,5
130,-41,574
126,-45,501
55,-116,137
144,-27,376
117,-54,1150
156,-15,415
28,-143,0
97,-74,230
139,-32,225
58,-113,368
90,-81,216
106,-65,184
74,-97,89
100,-71,497
142,-29,278.5
150,-21,438
155,-16,374
47,-124,0
188,17,0
108,-63,112
50,-121,101
60,-111,817
53,-118,333
64,-107,444
0,-171,828
153,-18,161
59,-112,198
137,-34,306
73,-98,435
49,-122,126
91,-80,47
76,-95,45
169,-2,96
56,-115,234
93,-78,487
78,-93,77
86,-85,111
187,16,0
124,-47,387
104,-67,282
102,-69,322
99,-72,379
87,-84,215
79,-92,9
148,-23,196
149,-22,190
122,-49,700
83,-88,26
54,-117,881
72,-99,142
46,-125,0
181,10,84
161,-10,76
193,22,0
22,-149,0
66,-105,199
133,-38,109
154,-17,120
145,-26,197
110,-61,344
128,-43,431
162,-9,275
151,-20,225
105,-66,398
23,-148,0
182,11,0
20,-151,0
26,-145,0
116,-55,328
131,-40,473
45,-126,0
51,-120,261
95,-76,242
107,-64,228
96,-75,222
147,-24,172
160,-11,366
65,-106,12
19,-152,0
80,-91,138
183,12,0
57,-114,273
98,-73,360
27,-144,69
70,-101,154
67,-104,0
159,-12,60
38,-133,0
77,-94,166
25,-146,98
36,-135,0
184,13,0
24,-147,24
111,-60,240
152,-19,331
82,-89,11
118,-53,205
120,-51,161
103,-68,484
94,-77,394
15,-156,0
68,-103,132
132,-39,316
112,-59,628
63,-108,498
81,-90,128
146,-25,129
158,-13,0
119,-52,288
71,-100,209
125,-46,629
166,-5,297
121,-50,541
85,-86,220
171,0,14
170,-1,114
115,-56,242
52,-119,469
129,-42,473
185,14,0
167,-4,119
29,-142,15
140,-31,393
101,-70,295
136,-35,259
138,-33,482
88,-83,266
157,-14,178
143,-28,180
134,-37,421
114,-57,523
18,-153,0
16,-155,0
127,-44,371
61,-110,47
48,-123,0
113,-58,148
179,8,0
177,6,0
176,5,0
180,9,0
178,7,0
175,4,0
172,1,352
173,2,60
174,3,0
